runtag1         	runtag2         	topic	unweighted_recall weighted_recall precision
hltcoeTTG0      	JufeLdkeSum1    	all 	      0.3569	      0.5580	    0.2532
hltcoeTTG0      	JufeLdkeSum2    	all 	      0.2469	      0.4313	    0.4053
hltcoeTTG0      	JufeLdkeSum3    	all 	      0.1324	      0.2621	    0.4817
hltcoeTTG0      	PrisTTG2014a    	all 	      0.2913	      0.4977	    0.3865
hltcoeTTG0      	PrisTTG2014b    	all 	      0.2975	      0.5008	    0.4107
hltcoeTTG0      	PrisTTG2014c    	all 	      0.2550	      0.4671	    0.2909
hltcoeTTG0      	PrisTTG2014e    	all 	      0.2771	      0.4997	    0.2775
hltcoeTTG0      	QUQEd10t15TTgCL 	all 	      0.2629	      0.4499	    0.4471
hltcoeTTG0      	QUQEd5t25TTgBL  	all 	      0.3015	      0.4871	    0.3572
hltcoeTTG0      	QUTmpDecayTTgCL 	all 	      0.2374	      0.4118	    0.4893
hltcoeTTG0      	QUTqrmTTgBL     	all 	      0.2867	      0.4675	    0.3191
hltcoeTTG0      	SCIAI124aTTG    	all 	      0.0746	      0.1240	    0.6451
hltcoeTTG0      	SCIAI14aTTG     	all 	      0.0760	      0.1262	    0.6466
hltcoeTTG0      	SCIAI3am14aTTG  	all 	      0.0698	      0.1365	    0.5739
hltcoeTTG0      	SCIAI3cm4aTTG   	all 	      0.0582	      0.1501	    0.5895
hltcoeTTG0      	SM100           	all 	      0.1598	      0.2659	    0.4946
hltcoeTTG0      	SM50            	all 	      0.1433	      0.2613	    0.5733
hltcoeTTG0      	SR              	all 	      0.0626	      0.1980	    0.6184
hltcoeTTG0      	SRTD            	all 	      0.0681	      0.2073	    0.5825
hltcoeTTG0      	SRTL            	all 	      0.0716	      0.2230	    0.5885
hltcoeTTG0      	Standard        	all 	      0.0658	      0.2098	    0.6074
hltcoeTTG0      	TTGPKUICST1     	all 	      0.3429	      0.5309	    0.4102
hltcoeTTG0      	TTGPKUICST2     	all 	      0.2612	      0.4575	    0.5317
hltcoeTTG0      	TTGPKUICST3     	all 	      0.3075	      0.5107	    0.4575
hltcoeTTG0      	TTGPKUICST4     	all 	      0.2996	      0.4875	    0.4791
hltcoeTTG0      	udelRunTTG1     	all 	      0.1156	      0.2704	    0.5546
hltcoeTTG0      	udelRunTTG2     	all 	      0.1125	      0.2587	    0.5213
hltcoeTTG0      	udelRunTTG3     	all 	      0.1183	      0.2619	    0.5530
hltcoeTTG0      	udelRunTTG4     	all 	      0.1170	      0.2608	    0.5368
hltcoeTTG0      	UDInfoMMR5      	all 	      0.0638	      0.1792	    0.5609
hltcoeTTG0      	UDInfoMMRA      	all 	      0.0573	      0.1607	    0.5767
hltcoeTTG0      	UDInfoMMRWC5    	all 	      0.0783	      0.1845	    0.5894
hltcoeTTG0      	UDInfoMMRWCA    	all 	      0.0753	      0.1768	    0.5683
hltcoeTTG0      	wistudt2bcd     	all 	      0.0566	      0.2053	    0.5977
hltcoeTTG0      	wistudt2bd      	all 	      0.0862	      0.2396	    0.5820
hltcoeTTG0      	wistudt2qcd     	all 	      0.0468	      0.1315	    0.4618
hltcoeTTG0      	wistudt2qd      	all 	      0.0621	      0.1516	    0.4470
hltcoeTTG1      	hltcoeTTG2      	all 	      0.3466	      0.5441	    0.3860
hltcoeTTG1      	hltcoeTTG3      	all 	      0.3694	      0.5541	    0.3687
hltcoeTTG1      	ICTNETAP3       	all 	      0.1370	      0.3016	    0.5261
hltcoeTTG1      	ICTNETAP4       	all 	      0.1509	      0.3399	    0.5086
hltcoeTTG1      	ICTNETRunSP3    	all 	      0.1527	      0.2277	    0.4686
hltcoeTTG1      	ICTNETRUNSP4    	all 	      0.1673	      0.2582	    0.4955
hltcoeTTG1      	JufeLdkeSum1    	all 	      0.3197	      0.5210	    0.3654
hltcoeTTG1      	JufeLdkeSum2    	all 	      0.2048	      0.3477	    0.4219
hltcoeTTG1      	JufeLdkeSum3    	all 	      0.1134	      0.2071	    0.4134
hltcoeTTG1      	PrisTTG2014a    	all 	      0.2310	      0.3795	    0.4329
hltcoeTTG1      	PrisTTG2014b    	all 	      0.2347	      0.3820	    0.4395
hltcoeTTG1      	PrisTTG2014c    	all 	      0.2162	      0.4000	    0.4414
hltcoeTTG1      	PrisTTG2014e    	all 	      0.2391	      0.4287	    0.4177
hltcoeTTG1      	QUQEd10t15TTgCL 	all 	      0.2075	      0.3433	    0.4903
hltcoeTTG1      	QUQEd5t25TTgBL  	all 	      0.2535	      0.4212	    0.4806
hltcoeTTG1      	QUTmpDecayTTgCL 	all 	      0.1897	      0.3226	    0.5164
hltcoeTTG1      	QUTqrmTTgBL     	all 	      0.2367	      0.3949	    0.4344
hltcoeTTG1      	SCIAI124aTTG    	all 	      0.0574	      0.0929	    0.5037
hltcoeTTG1      	SCIAI14aTTG     	all 	      0.0583	      0.0945	    0.5158
hltcoeTTG1      	SCIAI3am14aTTG  	all 	      0.0510	      0.0779	    0.4823
hltcoeTTG1      	SCIAI3cm4aTTG   	all 	      0.0367	      0.0653	    0.5017
hltcoeTTG1      	SM100           	all 	      0.1347	      0.2118	    0.4435
hltcoeTTG1      	SM50            	all 	      0.1167	      0.1915	    0.4890
hltcoeTTG1      	SR              	all 	      0.0400	      0.1068	    0.6365
hltcoeTTG1      	SRTD            	all 	      0.0445	      0.1396	    0.6706
hltcoeTTG1      	SRTL            	all 	      0.0513	      0.1506	    0.7050
hltcoeTTG1      	Standard        	all 	      0.0417	      0.1086	    0.5924
hltcoeTTG1      	TTGPKUICST1     	all 	      0.2952	      0.4349	    0.4279
hltcoeTTG1      	TTGPKUICST2     	all 	      0.2236	      0.3902	    0.5446
hltcoeTTG1      	TTGPKUICST3     	all 	      0.2592	      0.4186	    0.4743
hltcoeTTG1      	TTGPKUICST4     	all 	      0.2663	      0.4307	    0.4765
hltcoeTTG1      	udelRunTTG1     	all 	      0.0840	      0.1842	    0.5422
hltcoeTTG1      	udelRunTTG2     	all 	      0.0773	      0.1730	    0.4812
hltcoeTTG1      	udelRunTTG3     	all 	      0.0876	      0.1789	    0.5478
hltcoeTTG1      	udelRunTTG4     	all 	      0.0811	      0.1826	    0.5415
hltcoeTTG1      	UDInfoMMR5      	all 	      0.0398	      0.1136	    0.4970
hltcoeTTG1      	UDInfoMMRA      	all 	      0.0371	      0.0979	    0.4730
hltcoeTTG1      	UDInfoMMRWC5    	all 	      0.0477	      0.1169	    0.4924
hltcoeTTG1      	UDInfoMMRWCA    	all 	      0.0399	      0.1093	    0.4356
hltcoeTTG1      	wistudt2bcd     	all 	      0.0219	      0.0980	    0.4455
hltcoeTTG1      	wistudt2bd      	all 	      0.0485	      0.1485	    0.4572
hltcoeTTG1      	wistudt2qcd     	all 	      0.0173	      0.0504	    0.2848
hltcoeTTG1      	wistudt2qd      	all 	      0.0259	      0.0582	    0.3108
hltcoeTTG2      	hltcoeTTG3      	all 	      0.3819	      0.5737	    0.3528
hltcoeTTG2      	ICTNETAP3       	all 	      0.1525	      0.3421	    0.4813
hltcoeTTG2      	ICTNETAP4       	all 	      0.1681	      0.3704	    0.4569
hltcoeTTG2      	ICTNETRunSP3    	all 	      0.1578	      0.2386	    0.4518
hltcoeTTG2      	ICTNETRUNSP4    	all 	      0.1808	      0.2861	    0.4444
hltcoeTTG2      	JufeLdkeSum1    	all 	      0.3622	      0.5638	    0.3343
hltcoeTTG2      	JufeLdkeSum2    	all 	      0.2186	      0.3789	    0.3953
hltcoeTTG2      	JufeLdkeSum3    	all 	      0.1157	      0.2318	    0.3950
hltcoeTTG2      	PrisTTG2014a    	all 	      0.2636	      0.4504	    0.4248
hltcoeTTG2      	PrisTTG2014b    	all 	      0.2693	      0.4497	    0.4339
hltcoeTTG2      	PrisTTG2014c    	all 	      0.2418	      0.4555	    0.4028
hltcoeTTG2      	PrisTTG2014e    	all 	      0.2691	      0.4916	    0.3901
hltcoeTTG2      	QUQEd10t15TTgCL 	all 	      0.2175	      0.3832	    0.4590
hltcoeTTG2      	QUQEd5t25TTgBL  	all 	      0.2759	      0.4722	    0.4228
hltcoeTTG2      	QUTmpDecayTTgCL 	all 	      0.2051	      0.3614	    0.5115
hltcoeTTG2      	QUTqrmTTgBL     	all 	      0.2576	      0.4449	    0.4028
hltcoeTTG2      	SCIAI124aTTG    	all 	      0.0646	      0.1090	    0.5183
hltcoeTTG2      	SCIAI14aTTG     	all 	      0.0646	      0.1090	    0.5183
hltcoeTTG2      	SCIAI3am14aTTG  	all 	      0.0538	      0.0907	    0.4746
hltcoeTTG2      	SCIAI3cm4aTTG   	all 	      0.0451	      0.1125	    0.5241
hltcoeTTG2      	SM100           	all 	      0.1412	      0.2299	    0.4887
hltcoeTTG2      	SM50            	all 	      0.1213	      0.2138	    0.5417
hltcoeTTG2      	SR              	all 	      0.0453	      0.1065	    0.6482
hltcoeTTG2      	SRTD            	all 	      0.0476	      0.1327	    0.6909
hltcoeTTG2      	SRTL            	all 	      0.0514	      0.1384	    0.6948
hltcoeTTG2      	Standard        	all 	      0.0477	      0.1259	    0.6718
hltcoeTTG2      	TTGPKUICST1     	all 	      0.3263	      0.4898	    0.3952
hltcoeTTG2      	TTGPKUICST2     	all 	      0.2442	      0.4409	    0.5230
hltcoeTTG2      	TTGPKUICST3     	all 	      0.2922	      0.4653	    0.4485
hltcoeTTG2      	TTGPKUICST4     	all 	      0.2939	      0.4719	    0.4487
hltcoeTTG2      	udelRunTTG1     	all 	      0.0978	      0.2044	    0.5499
hltcoeTTG2      	udelRunTTG2     	all 	      0.0890	      0.1775	    0.5383
hltcoeTTG2      	udelRunTTG3     	all 	      0.1001	      0.2009	    0.5544
