runtag1         	runtag2         	topic	unweighted_recall weighted_recall precision
hltcoeTTG1      	Standard        	all 	      0.4248	      0.6229	    0.4365
hltcoeTTG1      	TTGPKUICST1     	all 	      0.5921	      0.7508	    0.3528
hltcoeTTG1      	TTGPKUICST2     	all 	      0.5161	      0.6904	    0.4196
hltcoeTTG1      	TTGPKUICST3     	all 	      0.5915	      0.7352	    0.3715
hltcoeTTG1      	TTGPKUICST4     	all 	      0.6230	      0.7411	    0.3514
hltcoeTTG1      	udelRunTTG1     	all 	      0.4821	      0.6657	    0.3635
hltcoeTTG1      	udelRunTTG2     	all 	      0.4828	      0.6663	    0.3629
hltcoeTTG1      	udelRunTTG3     	all 	      0.4738	      0.6584	    0.3583
hltcoeTTG1      	udelRunTTG4     	all 	      0.4750	      0.6580	    0.3591
hltcoeTTG1      	UDInfoMMR5      	all 	      0.4190	      0.6135	    0.4421
hltcoeTTG1      	UDInfoMMRA      	all 	      0.4147	      0.6097	    0.4409
hltcoeTTG1      	UDInfoMMRWC5    	all 	      0.4226	      0.6203	    0.4486
hltcoeTTG1      	UDInfoMMRWCA    	all 	      0.4218	      0.6124	    0.4470
hltcoeTTG1      	wistudt2bcd     	all 	      0.4191	      0.6214	    0.3802
hltcoeTTG1      	wistudt2bd      	all 	      0.4358	      0.6350	    0.3696
hltcoeTTG1      	wistudt2qcd     	all 	      0.4167	      0.6150	    0.3709
hltcoeTTG1      	wistudt2qd      	all 	      0.4267	      0.6220	    0.3365
hltcoeTTG2      	hltcoeTTG3      	all 	      0.5537	      0.7138	    0.3621
hltcoeTTG2      	ICTNETAP3       	all 	      0.5079	      0.6993	    0.3072
hltcoeTTG2      	ICTNETAP4       	all 	      0.5241	      0.7109	    0.3013
hltcoeTTG2      	ICTNETRunSP3    	all 	      0.5689	      0.7275	    0.1508
hltcoeTTG2      	ICTNETRUNSP4    	all 	      0.5902	      0.7411	    0.1404
hltcoeTTG2      	JufeLdkeSum1    	all 	      0.7538	      0.8456	    0.0701
hltcoeTTG2      	JufeLdkeSum2    	all 	      0.6313	      0.7762	    0.1154
hltcoeTTG2      	JufeLdkeSum3    	all 	      0.5879	      0.7432	    0.0682
hltcoeTTG2      	PrisTTG2014a    	all 	      0.5697	      0.7318	    0.3302
hltcoeTTG2      	PrisTTG2014b    	all 	      0.5745	      0.7359	    0.3319
hltcoeTTG2      	PrisTTG2014c    	all 	      0.5567	      0.7264	    0.3205
hltcoeTTG2      	PrisTTG2014e    	all 	      0.5629	      0.7370	    0.3262
hltcoeTTG2      	QUQEd10t15TTgCL 	all 	      0.5359	      0.7115	    0.3592
hltcoeTTG2      	QUQEd5t25TTgBL  	all 	      0.5499	      0.7165	    0.3577
hltcoeTTG2      	QUTmpDecayTTgCL 	all 	      0.5517	      0.7217	    0.3558
hltcoeTTG2      	QUTqrmTTgBL     	all 	      0.5605	      0.7350	    0.3549
hltcoeTTG2      	SCIAI124aTTG    	all 	      0.4721	      0.6622	    0.3835
hltcoeTTG2      	SCIAI14aTTG     	all 	      0.4722	      0.6622	    0.3835
hltcoeTTG2      	SCIAI3am14aTTG  	all 	      0.4734	      0.6653	    0.3819
hltcoeTTG2      	SCIAI3cm4aTTG   	all 	      0.4681	      0.6596	    0.3821
hltcoeTTG2      	SM100           	all 	      0.5034	      0.6898	    0.3643
hltcoeTTG2      	SM50            	all 	      0.4910	      0.6790	    0.3816
hltcoeTTG2      	SR              	all 	      0.4727	      0.6643	    0.3894
hltcoeTTG2      	SRTD            	all 	      0.4741	      0.6669	    0.3868
hltcoeTTG2      	SRTL            	all 	      0.4785	      0.6687	    0.3857
hltcoeTTG2      	Standard        	all 	      0.4751	      0.6672	    0.3829
hltcoeTTG2      	TTGPKUICST1     	all 	      0.6200	      0.7692	    0.3330
hltcoeTTG2      	TTGPKUICST2     	all 	      0.5545	      0.7234	    0.3793
hltcoeTTG2      	TTGPKUICST3     	all 	      0.6165	      0.7567	    0.3446
hltcoeTTG2      	TTGPKUICST4     	all 	      0.6527	      0.7729	    0.3260
hltcoeTTG2      	udelRunTTG1     	all 	      0.5227	      0.7003	    0.3379
hltcoeTTG2      	udelRunTTG2     	all 	      0.5232	      0.7011	    0.3375
hltcoeTTG2      	udelRunTTG3     	all 	      0.5159	      0.6947	    0.3350
